Neon + Tile test f32: Loop-5, M-128, P-128, N-128
Correct
  Ti   Tj   Tk   Time
  36   32   48   0.00226153
  36   32   64   0.00259924
  36   32   80   0.00254833
  36   32   96   0.00261341
  36   32  112   0.00276411
  36   32  128   0.0028062
  36   48    0   0.00277949
  36   48   16   0.00182131
  36   48   32   0.00178838 recorded
  36   48   48   0.00224401
  36   48   64   0.00257966
  36   48   80   0.0025347
  36   48   96   0.00260449
  36   48  112   0.00274932
  36   48  128   0.00279892
  36   64    0   0.00277959
  36   64   16   0.00180767
  36   64   32   0.00176836 recorded
  36   64   48   0.00221438
  36   64   64   0.00256458
  36   64   80   0.00251331
  36   64   96   0.00258164
  36   64  112   0.00274072
  36   64  128   0.00278765
  36   80    0   0.00277484
  36   80   16   0.00180096 recorded
  36   80   32   0.00175938 recorded
  36   80   48   0.00221763
  36   80   64   0.00256627
  36   80   80   0.00251881
  36   80   96   0.00258912
  36   80  112   0.0027352
  36   80  128   0.00278813
  36   96    0   0.00277922
  36   96   16   0.00179823 recorded
  36   96   32   0.00176696 recorded
  36   96   48   0.00221896
  36   96   64   0.00256633
  36   96   80   0.00251579
  36   96   96   0.00259164
  36   96  112   0.00274032
  36   96  128   0.00278751
  36  112    0   0.00278415
  36  112   16   0.00180504
  36  112   32   0.0017579 recorded
  36  112   48   0.00221805
  36  112   64   0.0025562
  36  112   80   0.00252389
  36  112   96   0.00259193
  36  112  112   0.00273947
  36  112  128   0.00279228
  36  128    0   0.00277736
  36  128   16   0.00174804 recorded
  36  128   32   0.00171561 recorded
  36  128   48   0.00218367
  36  128   64   0.0025361
  36  128   80   0.00248402
  36  128   96   0.00256331
  36  128  112   0.00271816
  36  128  128   0.0027699
  40   16    0   0.00280999
  40   16   16   0.0020066
  40   16   32   0.00192416
  40   16   48   0.00234477
  40   16   64   0.0026628
  40   16   80   0.00263095
  40   16   96   0.00268893
  40   16  112   0.0028278
  40   16  128   0.00285074
  40   32    0   0.00278803
  40   32   16   0.00185962
  40   32   32   0.00183706
  40   32   48   0.00227311
  40   32   64   0.0026137
  40   32   80   0.00255497
  40   32   96   0.00262747
  40   32  112   0.00277313
  40   32  128   0.00281267
  40   48    0   0.00277851
  40   48   16   0.00182948
  40   48   32   0.00179438 recorded
  40   48   48   0.00224955
  40   48   64   0.00259787
  40   48   80   0.00254085
  40   48   96   0.00260824
  40   48  112   0.0027548
  40   48  128   0.0028007
  40   64    0   0.0027792
  40   64   16   0.00180815
  40   64   32   0.00176919 recorded
  40   64   48   0.00221501
  40   64   64   0.00256535
  40   64   80   0.00251408
  40   64   96   0.00258595
  40   64  112   0.00274018
  40   64  128   0.00278868
  40   80    0   0.00277249
  40   80   16   0.00180267
  40   80   32   0.00176063 recorded
  40   80   48   0.00221869
  40   80   64   0.0025606
  40   80   80   0.00251729
  40   80   96   0.00258758
  40   80  112   0.00273578
  40   80  128   0.00278953
  40   96    0   0.00277997
  40   96   16   0.00179917
  40   96   32   0.00176725 recorded
  40   96   48   0.00221832
  40   96   64   0.00256906
  40   96   80   0.00251748
  40   96   96   0.00259002
  40   96  112   0.00274253
  40   96  128   0.00278853
  40  112    0   0.0027827
  40  112   16   0.00180585
  40  112   32   0.00176048 recorded
  40  112   48   0.00221801
  40  112   64   0.00256652
  40  112   80   0.00252112
  40  112   96   0.00258854
  40  112  112   0.00274328
  40  112  128   0.00279072
  40  128    0   0.00277632
  40  128   16   0.00174527 recorded
  40  128   32   0.00171611 recorded
  40  128   48   0.00218317
  40  128   64   0.00253685
  40  128   80   0.0024845
  40  128   96   0.00256245
  40  128  112   0.00271762
  40  128  128   0.00277065
  44   16    0   0.00282796
  44   16   16   0.0020162
  44   16   32   0.00192098
  44   16   48   0.00234888
  44   16   64   0.0026663
  44   16   80   0.00263353
  44   16   96   0.00269641
  44   16  112   0.00283934
  44   16  128   0.00285705
  44   32    0   0.0027922
  44   32   16   0.00185996
  44   32   32   0.00182946
  44   32   48   0.00226884
  44   32   64   0.00261429
  44   32   80   0.0025557
  44   32   96   0.00263224
  44   32  112   0.00277665
  44   32  128   0.0028149
  44   48    0   0.00278276
  44   48   16   0.00182596
  44   48   32   0.00178531 recorded
  44   48   48   0.00224528
  44   48   64   0.00258418
  44   48   80   0.00254014
  44   48   96   0.00260668
  44   48  112   0.00275645
  44   48  128   0.00280155
  44   64    0   0.00278501
  44   64   16   0.00180335
  44   64   32   0.00175886 recorded
  44   64   48   0.00221213
  44   64   64   0.00256414
  44   64   80   0.00251123
  44   64   96   0.00258537
  44   64  112   0.00274091
  44   64  128   0.0027854
  44   80    0   0.0027794
  44   80   16   0.00179798
  44   80   32   0.00175048 recorded
  44   80   48   0.00221426
  44   80   64   0.00256695
  44   80   80   0.0025151
